time_s,amp_env_hilbert_primary,amp_env_hilbert_fullband,amp_env_deriv_hwrect,spectral_flux,anm,amp_env_gammatone
2.031250,-1.799147,-1.799147,-1.333971,-1.443555,-2.995574,-1.799147
2.039062,-1.843172,-1.843172,-1.404337,-1.621175,-2.930965,-1.843172
2.046875,-1.800356,-1.800356,-1.332815,-1.439394,-2.997563,-1.800356
2.054688,-1.841769,-1.841769,-1.405514,-1.625576,-2.928828,-1.841769
2.062500,-1.801794,-1.801794,-1.331591,-1.434731,-2.999864,-1.801794
2.070312,-1.840123,-1.840123,-1.406761,-1.630527,-2.926345,-1.840123
2.078125,-1.803506,-1.803506,-1.330294,-1.429460,-3.002552,-1.803506
2.085938,-1.838185,-1.838185,-1.408074,-1.636152,-2.923422,-1.838185
2.093750,-1.805555,-1.805555,-1.328927,-1.423440,-3.005739,-1.805555
2.101562,-1.835890,-1.835890,-1.409453,-1.642616,-2.919932,-1.835890
2.109375,-1.808020,-1.808020,-1.327494,-1.416476,-3.009577,-1.808020
2.117188,-1.833153,-1.833153,-1.410884,-1.650147,-2.915693,-1.833153
2.125000,-1.811006,-1.811006,-1.326020,-1.408298,-3.014284,-1.811006
2.132812,-1.829865,-1.829865,-1.412332,-1.659070,-2.910430,-1.829865
2.140625,-1.814649,-1.814649,-1.324544,-1.398510,-3.020211,-1.814649
2.148438,-1.825885,-1.825885,-1.413733,-1.669872,-2.903708,-1.825885
2.156250,-1.819130,-1.819130,-1.323160,-1.386510,-3.027907,-1.819130
2.164062,-1.821026,-1.821026,-1.414943,-1.683310,-2.894803,-1.821026
2.171875,-1.824687,-1.824687,-1.322067,-1.371320,-3.038339,-1.824687
2.179688,-1.815059,-1.815059,-1.415658,-1.700670,-2.882399,-1.815059
2.187500,-1.831600,-1.831600,-1.321718,-1.351216,-3.053361,-1.831600
2.195312,-1.807742,-1.807742,-1.415152,-1.724347,-2.863780,-1.807742
2.203125,-1.840075,-1.840075,-1.323230,-1.322714,-3.077134,-1.840075
2.210938,-1.799070,-1.799070,-1.411486,-1.759716,-2.832188,-1.799070
2.218750,-1.849274,-1.849274,-1.329947,-1.276481,-3.121654,-1.849274
2.226562,-1.789162,-1.789162,-1.394871,-1.808248,-2.763033,-1.789162
2.234375,-1.836878,-1.836878,-1.339987,-1.106614,-3.243802,-1.836878
2.242188,-1.605554,-1.605554,-1.246064,-1.504568,-2.219375,-1.605554
2.250000,-1.281564,-1.281564,-1.186356,0.034884,-0.941274,-1.281564
2.257812,0.352314,0.352314,1.089883,3.257286,1.815098,0.352314
2.265625,5.651704,5.651704,4.335894,7.316816,4.275131,5.651704
2.273438,20.286543,20.286543,2.733832,4.372790,3.381383,20.286543
2.281250,13.160979,13.160979,2.578156,1.287172,3.039720,13.160979
2.289062,7.149958,7.149958,2.939485,2.449206,2.394070,7.149958
2.296875,6.446081,6.446081,4.547087,3.271144,2.424240,6.446081
2.304688,4.103631,4.103631,3.653217,2.781256,2.283354,4.103631
2.312500,2.029936,2.029936,4.631081,2.665899,2.159612,2.029936
2.320312,3.684602,3.684602,3.947187,2.374206,1.981211,3.684602
2.328125,3.771264,3.771264,4.436634,3.133265,1.851761,3.771264
2.335938,4.407741,4.407741,3.965835,3.268576,1.775970,4.407741
2.343750,2.375969,2.375969,3.558661,1.768385,1.416192,2.375969
2.351562,0.974172,0.974172,4.053198,2.702059,1.527130,0.974172
2.359375,2.142533,2.142533,4.823637,2.900305,1.480279,2.142533
2.367188,1.945279,1.945279,3.875205,1.703526,1.350853,1.945279
2.375000,2.474878,2.474878,4.863564,3.678619,1.465724,2.474878
2.382812,2.846137,2.846137,4.994673,2.294379,1.113787,2.846137
2.390625,2.016010,2.016010,4.747654,2.803316,1.297801,2.016010
2.398438,2.302959,2.302959,4.664786,2.079360,1.147647,2.302959
2.406250,2.655513,2.655513,4.477776,3.337504,1.098936,2.655513
2.414062,2.053680,2.053680,4.098477,1.738182,1.004439,2.053680
